행정구역(시군구)별,성별,연령별,인구 (명)
 성동구,계,55 - 59세,23143
 성동구,계,60 - 64세,20781.5
 성동구,계,65 - 69세,14024.5
 성동구,계,70 - 74세,11034
 성동구,계,75 - 79세,8844.5
 성동구,계,80세 이상,9028
 성동구,계,80 - 84세,5546.5
 성동구,계,85세 이상,3481.5
 성동구,계,85 - 89세,2455
 성동구,계,90 - 94세,821
 성동구,계,95 - 99세,178
 성동구,계,100세 이상,27.5
 성동구,남자,계,142673
 성동구,남자,0 - 4세,5462
 성동구,남자,5 - 9세,5381.5
 성동구,남자,10 - 14세,4734.5
 성동구,남자,15 - 19세,5521
 성동구,남자,20 - 24세,9628
 성동구,남자,25 - 29세,12760
 성동구,남자,30 - 34세,11445
 성동구,남자,35 - 39세,12877
 성동구,남자,40 - 44세,11091.5
 성동구,남자,45 - 49세,11583
 성동구,남자,50 - 54세,11614
 성동구,남자,55 - 59세,11589
 성동구,남자,60 - 64세,10243
 성동구,남자,65 - 69세,6672.5
 성동구,남자,70 - 74세,4991.5
 성동구,남자,75 - 79세,3865.5
 성동구,남자,80세 이상,3214
 성동구,남자,80 - 84세,2154.5
 성동구,남자,85세 이상,1059.5
 성동구,남자,85 - 89세,798.5
 성동구,남자,90 - 94세,207
 성동구,남자,95 - 99세,47.5
 성동구,남자,100세 이상,6.5
 성동구,여자,계,149168
 성동구,여자,0 - 4세,5158
 성동구,여자,5 - 9세,5203
 성동구,여자,10 - 14세,4575
 성동구,여자,15 - 19세,5681.5
 성동구,여자,20 - 24세,10238
 성동구,여자,25 - 29세,12608
 성동구,여자,30 - 34세,12405.5
 성동구,여자,35 - 39세,12686
 성동구,여자,40 - 44세,10718.5
 성동구,여자,45 - 49세,11794.5
 성동구,여자,50 - 54세,11820
 성동구,여자,55 - 59세,11554
 성동구,여자,60 - 64세,10538.5
 성동구,여자,65 - 69세,7352
 성동구,여자,70 - 74세,6042.5
 성동구,여자,75 - 79세,4979
 성동구,여자,80세 이상,5814
 성동구,여자,80 - 84세,3392
 성동구,여자,85세 이상,2422
 성동구,여자,85 - 89세,1656.5
 성동구,여자,90 - 94세,614
 성동구,여자,95 - 99세,130.5
 성동구,여자,100세 이상,21
 광진구,계,계,343783
 광진구,계,0 - 4세,9107
 광진구,계,5 - 9세,11488
 광진구,계,10 - 14세,12259
 광진구,계,15 - 19세,14399
 광진구,계,20 - 24세,26069.5
 광진구,계,25 - 29세,35974.5
 광진구,계,30 - 34세,29172
 광진구,계,35 - 39세,27354.5
 광진구,계,40 - 44세,24710
 광진구,계,45 - 49세,27864
 광진구,계,50 - 54세,27567.5
 광진구,계,55 - 59세,26347.5
 광진구,계,60 - 64세,24044
 광진구,계,65 - 69세,16400.5
 광진구,계,70 - 74세,12293.5
 광진구,계,75 - 79세,9298.5
 광진구,계,80세 이상,9434
 광진구,계,80 - 84세,5780.5
 광진구,계,85세 이상,3653.5
 광진구,계,85 - 89세,2530
 광진구,계,90 - 94세,876
 광진구,계,95 - 99세,207
 광진구,계,100세 이상,40.5
 광진구,남자,계,166229.5
 광진구,남자,0 - 4세,4653.5
 광진구,남자,5 - 9세,5880.5
 광진구,남자,10 - 14세,6279.5
 광진구,남자,15 - 19세,7311.5
 광진구,남자,20 - 24세,11947
 광진구,남자,25 - 29세,17355
 광진구,남자,30 - 34세,14388.5
 광진구,남자,35 - 39세,13566
 광진구,남자,40 - 44세,12209
 광진구,남자,45 - 49세,13682.5
 광진구,남자,50 - 54세,13315.5
 광진구,남자,55 - 59세,12908.5
 광진구,남자,60 - 64세,11466.5
 광진구,남자,65 - 69세,7792.5
 광진구,남자,70 - 74세,5712.5
 광진구,남자,75 - 79세,4249
 광진구,남자,80세 이상,3512
 광진구,남자,80 - 84세,2388
 광진구,남자,85세 이상,1124
 광진구,남자,85 - 89세,833.5
 광진구,남자,90 - 94세,239
 광진구,남자,95 - 99세,44.5
 광진구,남자,100세 이상,7
 광진구,여자,계,177553.5
 광진구,여자,0 - 4세,4453.5
 광진구,여자,5 - 9세,5607.5
 광진구,여자,10 - 14세,5979.5
 광진구,여자,15 - 19세,7087.5
 광진구,여자,20 - 24세,14122.5
